sub_id,parent_id,parent_name,package_name,card_name,sale_price,original_price,target_gender,age_min,age_max,total_tests,is_404,test_list,expiry,url
990,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (เพศหญิง อายุ 40-50 ปี),เพศหญิง อายุ 40-50 ปี,12000,,female,40.0,50.0,11,False,IGF1 | IGFBP3 | Free T3 | Free T4 | TSH | DHEA | Cortisol | Estradiol (E2) | Progesterone | FSH | Testosterone,31 ธันวาคม 2569,https://navavej.com/package/990/sub
991,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (เพศหญิง อายุ >50 ปี),เพศหญิง อายุ >50 ปี,7900,,female,,,7,False,IGF1 | IGFBP3 | Free T3 | Free T4 | TSH | DHEA | Cortisol,31 ธันวาคม 2569,https://navavej.com/package/991/sub
992,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (เพศชาย อายุ <40 ปี),เพศชาย อายุ <40 ปี,3900,,male,,40.0,3,False,DHEA | Cortisol | Testosterone,31 ธันวาคม 2569,https://navavej.com/package/992/sub
993,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (เพศชาย อายุ 40-50 ปี),เพศชาย อายุ 40-50 ปี,7900,,male,40.0,50.0,7,False,TSH | DHEA | Cortisol | Estradiol (E2) | Progesterone | Free Testosterone | FSH,31 ธันวาคม 2569,https://navavej.com/package/993/sub
994,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (เพศชาย อายุ >50 ปี),เพศชาย อายุ >50 ปี,12000,,male,,,11,False,IGF1 | IGFBP3 | Free T3 | Free T4 | TSH | DHEA | Cortisol | Estradiol (E2) | Progesterone | Free Testosterone | FSH,31 ธันวาคม 2569,https://navavej.com/package/994/sub
995,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (โปรแกรมตรวจฮอร์โมนสำหรับวัยทอง),โปรแกรมตรวจฮอร์โมนสำหรับวัยทอง,3900,,all,,,3,False,Estradiol (E2) | Progesterone | FSH,31 ธันวาคม 2569,https://navavej.com/package/995/sub
996,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (โปรแกรมตรวจระดับวิตามินและแร่ธาตุ - S),โปรแกรมตรวจระดับวิตามินและแร่ธาตุ - S,8900,,all,,,7,False,chromium | copper | Selenium | Zinc | vitamin B12 | Folate | 250H Vitamin D2/D3 (total vitamin D),31 ธันวาคม 2569,https://navavej.com/package/996/sub
997,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (โปรแกรมตรวจระดับวิตามินและแร่ธาตุ - L),โปรแกรมตรวจระดับวิตามินและแร่ธาตุ - L,18000,,all,,,19,False,Vitamin A | vit E gamma | vit E alpha | lutein + zeaxanthin | beta carotene | lycopene | beta carotene | alpha carotene | CoQ10 | vitamin C | chromium | copper | Selenium | Zinc | magnesium | vitamin B12 | Folate | Ferritin | 250H Vitamin D2/D3,31 ธันวาคม 2569,https://navavej.com/package/997/sub
998,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Telomere),Telomere,11000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/998/sub
999,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Epigenetic Age),Epigenetic Age,40000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/999/sub
1000,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (ผู้ชาย),ผู้ชาย,4200,,male,,,4,False,CEA มะเร็งลำไส้ | AFP มะเร็งตับ | CA19-9 มะเร็งตับอ่อน | PSA มะเร็งต่อมลูกหมาก,31 ธันวาคม 2569,https://navavej.com/package/1000/sub
1001,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (ผู้หญิง),ผู้หญิง,5200,,female,,,5,False,CEA มะเร็งลำไส้ | AFP มะเร็งตับ | CA125 มะเร็งรังไข่ | CA15-3 มะเร็งเต้านม | CA19-9 มะเร็งตับอ่อน,31 ธันวาคม 2569,https://navavej.com/package/1001/sub
1002,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (SPOT-MAS 10 multi-cancer screening),SPOT-MAS 10 multi-cancer screening,15900,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1002/sub
1003,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Alzheimer's Core 4  Biomarkers),Alzheimer's Core 4  Biomarkers,13500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1003/sub
1004,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (APO E),APO E,4000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1004/sub
1005,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (โปรแกรมตรวจสารพิษโลหะหนัก),โปรแกรมตรวจสารพิษโลหะหนัก,9200,,all,,,9,False,Aluminium(AI) | Arsenic (As) | Cadmium (Cd) | Lead (Pb) | Mercury (Hg) | Manganese (Mn) | Nickel (Ni) | Cobalt (Co) | IV Chelation,31 ธันวาคม 2569,https://navavej.com/package/1005/sub
1006,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (โปรแกรมตรวจค่าการอักเสบ 1),โปรแกรมตรวจค่าการอักเสบ 1,3700,,all,,,3,False,ESR | hs-CRP | Homocysteine,31 ธันวาคม 2569,https://navavej.com/package/1006/sub
1007,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (โปรแกรมตรวจค่าการอักเสบ 2),โปรแกรมตรวจค่าการอักเสบ 2,15000,,all,,,1,False,Cytokine 12 marker,31 ธันวาคม 2569,https://navavej.com/package/1007/sub
1008,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Gut microbiome (แถม personalized probiotic 3 เดือน)),Gut microbiome (แถม personalized probiotic 3 เดือน),28000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1008/sub
1009,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Food intolerance (ตรวจภูมิแพ้อาหารแฝง 222 ชนิด)),Food intolerance (ตรวจภูมิแพ้อาหารแฝง 222 ชนิด),20000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1009/sub
1010,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Apolipoprotein B),Apolipoprotein B,1400,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1010/sub
1011,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Apolipoprotein A-1),Apolipoprotein A-1,1400,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1011/sub
