id,code,name,activefrom,activeto
50,NVV-PK-0050,(Use ครั้งที่ 8)Longevity_IV Drip Liver Detox 10 ครั้ง,2026-03-04 09:36:12.000 +0700,2027-12-31 09:37:33.000 +0700
51,NVV-PK-0051,ตรวจก่อนทำประกัน-CT Lower Abdomen (รวมค่าแพทย์) Not contrast (C)-FWD,2021-05-01 23:54:59.000 +0700,
52,NVV-PK-0052,(Use ครั้งที่ 8)Longevity_IV Drip Immune booster 10 ครั้ง,2026-03-04 11:04:05.000 +0700,2027-12-31 11:05:19.000 +0700
53,NVV-PK-0053,Benign Vertigo,2026-02-24 15:42:35.000 +0700,
54,NVV-PK-0054,cannula on ออกซิเจน,2025-08-03 11:01:16.000 +0700,
55,NVV-PK-0055,On iv เด็ก,2025-10-07 04:24:24.000 +0700,
56,NVV-PK-0056,(Use ครั้งที่ 5)Longevity_IV Drip Mitochondria Energy 10 ครั้ง,2026-03-04 13:16:52.000 +0700,2027-12-31 13:18:57.000 +0700
57,NVV-PK-0057,จุกวัดไข้,2024-09-20 09:46:37.000 +0700,2025-07-14 09:54:34.000 +0700
58,NVV-PK-0058,โปรแกรม (3/10)(60 นาที) กระตุ้นกลืนด้วยเครื่องกระตุ้นไฟฟ้า (Dysphagia) 10 ครั้ง,2026-01-13 09:43:24.000 +0700,2027-01-05 09:43:38.000 +0700
59,NVV-PK-0059,Valentine_2/3 HPV-9 vaccine วัคซีนป้องกันมะเร็งปากมดลูกชนิด 9 สายพันธุ์(3 เข็ม)(15 - 45 ปี),2026-02-01 15:45:23.000 +0700,2027-01-05 19:50:08.000 +0700
60,NVV-PK-0060,"Med_เข็มที่ 1 Vaccine อีสุกอีใส สำหรับผู้ใหญ่ เหมาจ่าย 2 เข็ม 3,600 บาท",2026-03-10 11:58:58.000 +0700,2026-12-31 12:00:38.000 +0700
61,NVV-PK-0061,2024_(Homemed)(500) แพ็กเกจผ่าตัดคลอด /ผ่าตัดคลอด+ทำหมัน (Cesarean /Cesarean with Sterilize),2026-03-05 10:25:06.000 +0700,2027-01-31 10:24:17.000 +0700
62,NVV-PK-0062,(Use ครั้งที่ 3)Longevity_IV Drip High C 5 ครั้ง,2026-03-04 08:33:09.000 +0700,2027-12-31 08:34:10.000 +0700
63,NVV-PK-0063,2025_Pro วันหัวใจโลก ตรวจ Echo แถม EKG&ABI,2025-09-10 21:00:01.000 +0700,2025-12-31 17:31:39.000 +0700
64,NVV-PK-0064,รายการตรวจเพิ่มปี2569-ตรวจหาสารบ่งชี้มะเร็งลำไส้ (ชาย - หญิง) CEA(Carcino Embryonic Ag),2025-12-25 16:38:48.000 +0700,2026-12-31 16:39:14.000 +0700
65,NVV-PK-0065,บริษัท ไอ.ซี.ซี.อินเตอร์เนชั่นแนล จำกัด (มหาชน) และบริษัทในเครือ โปรแกรม 2 อายุ 35 ปีขึ้นไป - Mobile,2026-02-16 16:17:04.000 +0700,2026-02-28 16:17:45.000 +0700
66,NVV-PK-0066,EPS+RFA medical suply,2026-01-27 17:06:04.000 +0700,
67,NVV-PK-0067,PMS Program (Grade1) (5 ครั้ง),2026-01-23 14:28:44.000 +0700,2027-01-05 14:29:07.000 +0700
68,NVV-PK-0068,บริษัท นวเวช อินเตอร์เนชั่นแนล จำกัด (มหาชน) (แพทย์) โปรแกรม 1 หญิง อายุ < 40 ปี - Walk in,2026-02-10 11:01:30.000 +0700,2026-12-31 11:02:15.000 +0700
69,NVV-PK-0069,(Use ครั้งที่ 10)Longevity_IV Drip Chelation Detox 10 ครั้ง,2026-03-03 15:22:19.000 +0700,2027-12-31 15:24:10.000 +0700
70,NVV-PK-0070,Enantone 11.25 MG_2/2 โปรแกรมรักษาภาวะเป็นหนุ่มเป็นสาวก่อนวัย 2 เข็ม,2025-05-19 13:17:38.000 +0700,2027-01-05 13:18:53.000 +0700
71,NVV-PK-0071,Longevity_Cardiovascular risk screeinng (APOA1),2026-02-23 13:11:39.000 +0700,2026-12-31 13:12:42.000 +0700
72,NVV-PK-0072,รายการตรวจเพิ่มปี2569-ตรวจหาภูมิคุ้มกันไวรัสตับอักเสบบี HBs Ab(Anti HBs),2025-12-25 14:31:55.000 +0700,2026-12-31 14:33:13.000 +0700
73,NVV-PK-0073,บริษัท เอ็นโซล จำกัด และบริษัทในเครือ โปรแกรม 2 (ชาย-หญิง)-Walk in,2026-01-05 11:19:24.000 +0700,2026-12-31 11:20:02.000 +0700
74,NVV-PK-0074,Multimodal,2026-03-09 16:02:47.000 +0700,
75,NVV-PK-0075,lab basic,2023-12-30 17:09:06.000 +0700,
76,NVV-PK-0076,บริษัท ธนาคารไทยพาณิชย์ จำกัด (มหาชน) โปรแกรม 6 ชาย ,2026-01-01 19:11:54.000 +0700,2029-12-31 11:02:04.000 +0700
77,NVV-PK-0077,(Use ครั้งที่ 6)Longevity_IV Drip Chelation Detox 10 ครั้ง,2026-03-03 15:22:19.000 +0700,2027-12-31 15:24:10.000 +0700
78,NVV-PK-0078,2026 Community_ตรวจหัวใจด้วยคลื่นเลียงความถี่สูง (Echo),2026-01-20 13:35:39.000 +0700,2026-12-31 13:36:45.000 +0700
79,NVV-PK-0079,(Use ครั้งที่ 2)Longevity_IV Drip Liver Detox 5 ครั้ง,2026-03-04 09:36:12.000 +0700,2027-12-31 09:37:33.000 +0700
80,NVV-PK-0080,ครบรอบ 5 ปี/ คีย์ครั้งที่ 2 Pro Diamond เลือกคีย์ สำหรับหัตถการหัวใจ ตัดยอด,2026-03-01 17:08:02.000 +0700,2026-10-30 16:44:10.000 +0700
81,NVV-PK-0081,รายการตรวจเพิ่มปี2569-ตรวจหัวใจด้วยคลื่นเสียงสะท้อนความถี่สูง Echocardiogram,2025-12-25 19:26:34.000 +0700,2026-12-31 19:27:58.000 +0700
82,NVV-PK-0082,รับใหม่เคส COVID เด็ก,2025-11-13 11:33:43.000 +0700,
83,NVV-PK-0083,(Use ครั้งที่ 1)Longevity_IV Drip Brain Booster 10 ครั้ง,2026-03-04 14:30:02.000 +0700,2027-12-31 14:31:10.000 +0700
84,NVV-PK-0084,AIA_Prestige ทันตกรรมอายุต่ำกว่า 12 ปี,2026-03-01 13:34:41.000 +0700,2027-12-31 16:39:08.000 +0700
85,NVV-PK-0085,บริษัท วี.อาร์.พี แอดวานซ์ จำกัดและบริษัทในเครือ โปรแกรม 4 พนักงานขับรถ(อายุ≥35 ปี)- Walk In,2026-03-01 19:27:35.000 +0700,2026-03-31 19:28:05.000 +0700
86,NVV-PK-0086,3/5 (ตัดใช้ 850)_PMS + Manual Program (Grade1)(5 ครั้ง),2026-02-06 15:18:09.000 +0700,2027-01-05 15:19:12.000 +0700
87,NVV-PK-0087,(Use ครั้งที่ 5)Longevity_IV Drip Brain Booster 5 ครั้ง,2026-03-04 14:30:02.000 +0700,2027-12-31 14:31:10.000 +0700
88,NVV-PK-0088,(Use ครั้งที่ 2)Longevity_IV Drip Brain Booster 10 ครั้ง,2026-03-04 14:30:02.000 +0700,2027-12-31 14:31:10.000 +0700
89,NVV-PK-0089,(Use ครั้งที่ 3)Longevity_IV Drip Immune booster 5 ครั้ง,2026-03-04 11:04:05.000 +0700,2027-12-31 11:05:19.000 +0700
90,NVV-PK-0090,(Use ครั้งที่ 5)Longevity_IV Drip Chelation Detox(DM) 10 ครั้ง,2026-03-03 16:09:05.000 +0700,2027-12-31 16:11:31.000 +0700
91,NVV-PK-0091,บริษัท เฟิสท์ บิซิเนส คอนซัลท์ จำกัด โปรแกรมวัคซีนไข้หวัดใหญ่ 3 สายพันธุ์,2026-02-20 16:34:29.000 +0700,2026-03-31 16:35:01.000 +0700
92,NVV-PK-0092,2026 Community_โปรแกรมตรวจสุขภาพเด็ก Play and Learn 1 (อายุ 5-14 ปี),2026-02-01 09:45:47.000 +0700,2027-01-31 09:45:56.000 +0700
93,NVV-PK-0093,set ให้IV,2021-09-20 11:03:56.000 +0700,2022-06-26 19:06:32.000 +0700
94,NVV-PK-0094,(Use ครั้งที่ 3)Longevity_IV Drip Brain Booster 5 ครั้ง,2026-03-04 14:30:02.000 +0700,2027-12-31 14:31:10.000 +0700
95,NVV-PK-0095,(Use ครั้งที่ 3)Longevity_IV Drip Chelation Detox 5 ครั้ง,2026-03-03 15:22:19.000 +0700,2027-12-31 15:24:10.000 +0700
96,NVV-PK-0096,2025_Fibro touch,2025-09-10 11:56:50.000 +0700,2026-12-31 11:29:34.000 +0700
97,NVV-PK-0097,(Use ครั้งที่ 3)Longevity_IV Drip High C 10 ครั้ง,2026-03-04 08:33:09.000 +0700,2027-12-31 08:34:10.000 +0700
98,NVV-PK-0098,2025_HD Mall One price campaign-Sleep test ,2025-01-28 20:22:24.000 +0700,2026-12-31 17:53:03.000 +0700
99,NVV-PK-0099,(Use ครั้งที่ 4)Longevity_IV Drip Brain Booster 5 ครั้ง,2026-03-04 14:30:02.000 +0700,2027-12-31 14:31:10.000 +0700
